id	year	month	date	event	category	level	volume	chapter	detail	image	imageAuthor	imageSource
1126000000	1126	闰十一月		开封城破，赵佶、赵桓被俘。	1							
1126120000	1126	12		赵构于相州建大元帅府，宗泽副之。	0							
1127010000	1127	1		赵构南下至东平府。								
1127020000	1127	2		金废宋二帝，北宋亡。金立张邦昌(楚)。	0							
1127030000	1127	3		金军北撤，第二次渡黄河南侵结束。	1							
1127050000	1127	5		赵构即位于南京应天府，改元建炎。	0							
1127050001	1127	5		寻浣衣娘，杀陈东等人，贬李纲。	0							
1127080000	1127	8		赵构南下扬州途中，在亳州明道宫九龙井落井。赵玖魂穿夺舍。						112708-01	悦冻窝心	
1127080001	1127	8		收刘晏赤心队入班直。诏众臣上书言事。	0							
1127080002	1127	8		张浚面劾内侍、二相隔绝内外。								
1127080003	1127	8		令杨沂中诛内侍康履。								
1127080004	1127	8		以吕好问为尚书右丞，张浚为御史中丞。召还李纲。	0							
1127090000	1127	9		金兵分东、西两路南下，第三次南侵开始。	1							
1127100000	1127	10	中旬	岳飞离开王彦部，自太行南下渡河至东京开封。	1							
1127100001	1127	10		行在迁南阳，路阻于丁进之乱。	1							
1127110000	1127	11		于百尺镇平韩世忠前军叛乱，赐韩世忠玉带。撤至顺昌府。	0				韩世忠去承宣使，去御营左军统制，为权统制，暂领御营左军			
1127110001	1127	11		京东东路沦陷。	1							
1127110002	1127	11		行在转淮上寿州，李纲及太后皇嗣安置扬州。								
1127120000	1127	12		刘光世弃六州南逃。亲诛刘光世于八公山。								
1127120001	1127	12		金西路军破洛阳、长安。	1							
1128010100	1128	1	1	北渡淮河至下蔡抚张俊。								
1128010400	1128	1	4	诏告天下抗金事。								
1128010000	1128	1		败东路金军完颜兀术部于淮河上。	1							
1128012800	1128	1	28	杨惟忠部岳飞、张荣斩完颜塞里于梁山泊。	1							
1128013000	1128	1	30	复济州府。	1							
1128020800	1128	2	8	于下蔡败兀术军。金军北撤。	1					11280208-01	悦冻窝心	
1128020900	1128	2	9	八公山朝会。以五马山信王为副元帅，马扩为都总管。移行在赴南阳。	0				韩世忠为淮西四郡制置使，御营左军都统制，武成军节度使\n张俊为淮东五郡制置使，御营右军都统制，定江节度使\n张所为京东两路制置使\n赵鼎为淮南两路转运使\n信王为元帅府副帅，马扩加北道都总管\n王德为御营中军副都统制			
1128021500	1128	2	15	过硖石山，以橘灯浮淮祭战殁将士。								
1128020000	1128	2		平淮西丁进之乱。遣苗、刘平建州兵变。	1							
1128030000	1128	3		李彦仙复陕州。	1							
1128030001	1128	3		失武关。汝阳城下夜袭退耶律马五，完颜银术可北撤洛阳。	1							
1128030002	1128	3	中旬	方城山大朝会。范致虚贬死。改组行在，变更东西两府，合并四省、三衙等。	0							
1128032000	1128	3	20	行在至南阳。								
1128040000	1128	4		亲平襄阳之乱。	1							
1128041200	1128	4	12	邓州降。	1							
1128041800	1128	4	18	襄阳降，诛范琼。	1							
1128040000	1128	4		归南阳，吴夫人自扬来从。								
1128040001	1128	4		金西路军退出关中。	1							
1128040002	1128	4		李彦仙北渡黄河，复解州，通太行。	1							
1128040003	1128	4		白河之会，废元祐党禁，贬叶梦得。	0							
1128050000	1128	5		殿试。								
1128050001	1128	5		加筑南阳、方城及东北诸城。								
1128050002	1128	5		金军北撤，韩世忠复洛阳，斩杨进。金兵第三次南侵结束。	1							
1128050003	1128	5		江南乱平。	1							
1128060000	1128	6		复长安，关中乱平。	1							
1128060001	1128	6		以张浚入蜀转运五路。	0							
1128060002	1128	6	下旬	金国重组元帅府，议再次南侵事。								
1128070000	1128	7	下旬	金兵于真定败五马山义军，马扩退入太行。	1							
1128080800	1128	8	8	张俊克沂州。	1							
1128081200	1128	8	12	张所攻济南。	1							
1128081700	1128	8	17	金东路军南下，孔彦舟降，败张荣。金兵第四次南侵开始。	1							
1128080000	1128	8		南京应天府陷，张所、辛道宗死。	1							
1128090300	1128	9	3	岳飞离济州，西去东京。								
